Team Power,Synergy,Enemy Strength,Location Difficulty,Win Probability
94,73,72,55,25.1
88.33333333,53,73,53,18.73333333
79.33333333,61,96,61,9.033333333
91.33333333,53,72,90,16.53333333
77.66666667,60,72,93,12.16666667
62,87,71,84,12.5
82.66666667,57,96,99,5.766666667
79,79,76,93,15.3
70.33333333,60,82,57,9.833333333
78,71,93,66,10.9
81.66666667,82,82,82,16.26666667
88.66666667,60,72,55,20.36666667
71.66666667,69,73,71,13.46666667
74.66666667,62,82,68,10.86666667
78.66666667,86,93,52,15.56666667
84.33333333,69,73,93,16.33333333
83,64,73,88,15.3
85.33333333,64,72,57,19.63333333
89.33333333,74,71,55,23.73333333
76.66666667,85,92,80,12.06666667
67.66666667,57,81,69,7.266666667
75.33333333,93,98,99,9.433333333
85,54,86,63,12.7
92,96,87,93,20.6
69,57,75,96,6.9
79.33333333,57,77,61,13.93333333
74,77,87,55,13.4
75.33333333,87,73,68,18.83333333
77.66666667,70,70,56,18.46666667
84,84,83,59,19.6
80,54,85,64,10.9
79,96,97,74,14.3
74,78,97,57,10.4
75,80,79,62,16.1
71,70,97,75,5.8
81.66666667,99,88,88,17.26666667
83.66666667,82,90,71,15.76666667
79.66666667,56,87,91,7.866666667
91,88,83,89,20.2
77.66666667,98,71,54,23.96666667
69,72,71,66,14.1
84.33333333,91,99,65,15.73333333
80.66666667,93,94,70,15.66666667
87,82,87,51,20
76.66666667,67,75,71,14.46666667
88.66666667,91,83,52,23.56666667
81.33333333,69,79,51,17.53333333
73.66666667,74,90,57,11.56666667
76.33333333,78,75,78,15.83333333
71.66666667,99,93,58,14.76666667
72,82,73,89,14.4
85.33333333,76,91,56,16.43333333
74.33333333,72,93,54,10.83333333
87.33333333,84,97,70,15.63333333
90,87,90,62,20.2
83,99,97,70,16.9
81,54,81,72,11.7
84.33333333,54,90,80,9.533333333
72.33333333,81,79,96,11.83333333
77,90,94,99,10.7
85.33333333,81,97,60,15.23333333
84.66666667,69,81,95,13.86666667
76.33333333,70,77,89,12.53333333
79,51,90,76,7.2
74,78,76,96,12.8
74,84,79,92,13.5
78.33333333,71,95,61,10.93333333
79.66666667,53,98,69,6.166666667
92.33333333,59,83,94,14.43333333
78,73,99,68,9.3
94,68,82,79,18.7
79.33333333,55,89,96,6.433333333
74.33333333,94,86,94,13.33333333
85,59,74,55,18.1
78,73,73,79,16
83,62,81,94,11.9
80.33333333,56,84,81,10.03333333
84.33333333,54,92,86,8.333333333
73.66666667,71,70,73,15.36666667
72.66666667,59,74,71,11.56666667
93,59,88,98,12.8
84.33333333,71,97,76,11.23333333
73.66666667,91,72,88,17.26666667
70,57,97,90,1.3
67.33333333,52,72,99,5.833333333
72.33333333,95,88,58,15.73333333
82.33333333,80,92,76,13.73333333
81.66666667,78,89,99,11.66666667
77,83,72,77,18.1
80,72,91,54,13.7
70.66666667,50,92,52,5.466666667
79.66666667,66,78,62,15.46666667
87.66666667,85,77,84,20.56666667
72.66666667,58,89,56,8.366666667
90,79,70,74,23.4
71.66666667,90,83,90,12.76666667
81.33333333,70,85,86,12.43333333
89,50,82,96,11.4
92,69,98,53,15.9
79,76,78,57,17.7
78.66666667,57,97,50,8.766666667
81,82,76,98,16.2
87,90,82,60,22.2
82.66666667,88,95,57,16.46666667
81.33333333,85,74,96,17.73333333
82.33333333,90,71,60,23.63333333
70.66666667,78,72,79,14.36666667
85,70,86,80,14.2
88.66666667,94,78,87,22.16666667
83.66666667,97,95,85,15.86666667
66.33333333,68,79,67,9.733333333
72.33333333,79,93,52,11.63333333
86.33333333,86,97,84,14.23333333
82.66666667,53,74,98,11.66666667
76.66666667,88,88,77,14.16666667
82.33333333,89,94,68,15.73333333
83,94,81,70,20.7
70.66666667,68,85,93,7.066666667
79.66666667,76,94,99,8.966666667
74.33333333,97,78,94,16.33333333
85.33333333,71,91,52,15.83333333
90.66666667,68,77,98,16.96666667
76.66666667,62,77,58,14.16666667
80.66666667,87,72,52,22.86666667
77.66666667,51,82,96,7.066666667
78,90,90,70,15.2
77.66666667,57,89,81,7.666666667
74.66666667,72,87,80,10.16666667
87.66666667,67,91,66,14.56666667
81.66666667,50,88,76,8.666666667
81,72,98,76,9.8
81.66666667,66,84,79,12.76666667
93.66666667,90,84,67,23.56666667
82,65,78,60,16.4
81.33333333,57,73,52,16.83333333
78.33333333,93,90,95,13.43333333
80,96,86,73,18.1
83.33333333,77,81,91,15.33333333
70.66666667,65,90,62,8.066666667
77.33333333,53,72,90,10.93333333
74.33333333,69,80,81,11.43333333
79.33333333,94,80,57,20.83333333
90,90,87,98,18.1
92,64,98,70,13.2
83.66666667,52,75,57,15.66666667
67.66666667,84,85,75,10.86666667
85.66666667,92,90,51,20.56666667
84.33333333,73,91,71,13.93333333
87.33333333,51,77,76,14.43333333
77.33333333,76,88,81,11.63333333
92.66666667,75,86,94,16.86666667
82,59,80,90,11.6
71.33333333,84,95,68,10.03333333
80.33333333,57,85,97,8.333333333
89.33333333,85,98,73,16.03333333
78.66666667,90,98,55,14.56666667
77,61,88,85,8.1
81,97,84,85,18.1
83.33333333,83,99,66,13.63333333
91,98,94,85,19.3
89,90,78,55,24.7
66,75,73,81,11.4
86,53,96,68,9.4
79.66666667,62,99,68,7.766666667
81.33333333,56,93,52,10.63333333
68.33333333,76,86,82,8.533333333
74.33333333,51,84,53,9.433333333
83.33333333,67,79,57,17.33333333
75.33333333,69,86,98,8.333333333
83,71,80,88,14.6
81.33333333,83,72,64,21.13333333
70.66666667,50,95,59,3.866666667
70,56,78,68,9
80.66666667,99,91,84,16.36666667
83,77,80,90,15.6
83,89,98,52,16.4
81.66666667,95,79,50,22.96666667
82.33333333,98,97,86,14.83333333
97,99,80,64,28.2
76.66666667,53,84,52,10.86666667
78.66666667,99,72,96,20.06666667
82,73,82,95,13.3
82.33333333,58,88,84,9.733333333
73,79,91,78,9.9
79,55,87,71,9.4
79,83,79,60,18.5
84,68,79,96,13.9
84.33333333,97,90,78,18.33333333
74.66666667,98,86,74,16.26666667
76.33333333,65,88,90,8.133333333
88.33333333,97,77,55,26.13333333
70,94,84,78,13.8
83.66666667,76,80,98,14.86666667
95,66,74,93,19.7
78,70,95,91,7.6
70.66666667,89,94,94,8.466666667
88.33333333,96,75,79,24.13333333
80.33333333,64,92,55,11.83333333
75.33333333,81,84,95,11.63333333
68.33333333,60,91,87,3.333333333
73.33333333,79,97,84,7.633333333
77,54,98,68,5.4
80.33333333,72,80,83,14.23333333
86.66666667,63,80,67,16.56666667
78,68,76,50,17
81.66666667,61,91,79,9.666666667
84.33333333,75,77,89,16.73333333
75.66666667,72,78,69,14.36666667
81.66666667,91,98,95,11.96666667
81,64,89,86,9.9
84.66666667,81,74,71,20.76666667
80.66666667,87,77,95,17.06666667
83.66666667,71,94,67,12.76666667
83.33333333,70,82,58,16.93333333
81.66666667,81,77,94,16.36666667
83.66666667,57,82,87,11.56666667
83,81,75,57,21.2
80.66666667,74,78,70,16.66666667
75.66666667,85,70,62,20.06666667
74.66666667,88,86,74,14.26666667
79.33333333,92,99,97,10.73333333
87,82,89,96,14.9
73.33333333,61,80,91,8.433333333
86.33333333,72,75,99,16.53333333
77.66666667,51,77,88,9.366666667
76.33333333,98,73,62,22.03333333
82,91,85,82,17.3
78.66666667,73,83,74,13.76666667
82,52,74,76,13.4
83.66666667,61,73,97,14.06666667
80,82,75,64,19.5
70.33333333,53,87,77,4.933333333
67,94,92,94,8.6
76,88,82,57,17.7
81.66666667,50,91,86,6.766666667
90.66666667,94,77,96,22.36666667
77.33333333,95,84,64,18.33333333
86.33333333,75,74,69,20.43333333
70.33333333,93,84,92,12.33333333
86,56,87,84,11.1
75,94,97,94,10.3
77,91,94,84,12.4
79.66666667,79,93,95,10.26666667
71,97,96,52,13.8
79,84,70,71,20.3
73,68,84,96,8
77,90,83,97,14.2
69.33333333,91,91,60,12.63333333
68.66666667,88,71,76,16.16666667
82.33333333,70,74,65,18.23333333
69.33333333,94,97,86,8.833333333
90,69,75,85,18.8
82.33333333,92,91,85,15.53333333
78.66666667,69,73,67,16.66666667
84.33333333,91,79,56,22.63333333
86.33333333,51,89,51,12.93333333
69.66666667,75,87,80,8.766666667
69,93,95,89,8.8
75,69,97,81,6.6
78.33333333,99,96,65,15.83333333
87.66666667,88,71,85,22.86666667
87.33333333,88,90,95,16.03333333
85,71,85,85,14.2
78.33333333,94,85,54,19.23333333
73.66666667,95,84,66,16.66666667
84.66666667,64,70,80,17.66666667
73.66666667,74,91,94,7.566666667
83.66666667,60,91,65,11.66666667
75,69,77,97,11
76.33333333,68,96,92,6.133333333
73,97,95,92,10.9
76,91,80,83,16.3
77.33333333,60,98,74,6.133333333
76.66666667,74,91,53,12.86666667
84.66666667,74,98,82,11.06666667
82,87,96,87,12.7
68,97,87,76,12.9
69.33333333,56,87,84,4.433333333
80.33333333,77,98,84,9.733333333
80.33333333,71,71,61,18.93333333
77.33333333,55,77,71,11.73333333
85.66666667,61,99,88,7.966666667
77.66666667,93,87,56,17.96666667
70,53,71,73,10
81.66666667,63,97,77,8.466666667
74.66666667,88,84,78,14.46666667
79.33333333,52,77,69,12.13333333
70.33333333,64,75,90,9.433333333
74,74,97,95,5.8
77.33333333,67,97,77,7.533333333
80,57,85,97,8.2
70.66666667,99,94,60,13.86666667
80.33333333,67,92,77,10.23333333
90.66666667,84,85,62,21.36666667
82,89,94,50,17.4
77.66666667,82,94,72,12.06666667
76.66666667,76,90,80,10.86666667
83.33333333,90,94,99,13.23333333
85,82,88,98,14.2
84,83,88,68,17
83.66666667,83,98,55,15.16666667
76,80,73,89,15.6
72.33333333,67,71,62,14.83333333
87.33333333,85,82,86,18.73333333
86.66666667,78,95,54,16.36666667
72.33333333,88,79,55,17.33333333
78,73,73,74,16.5
79,96,77,57,22
85.66666667,74,93,72,13.96666667
80.66666667,60,98,75,7.366666667
79.33333333,58,70,57,16.63333333
70.66666667,76,75,93,11.66666667
89,84,74,81,22.1
85.33333333,73,92,99,11.23333333
67.66666667,96,78,73,15.56666667
84.66666667,67,76,80,16.46666667
87,69,98,71,12.1
68,88,99,66,8.5
64.33333333,58,73,71,8.333333333
72.66666667,50,73,67,10.46666667
77.33333333,62,74,88,12.33333333
63.66666667,67,76,55,10.56666667
79.33333333,58,84,91,9.033333333
75.66666667,71,94,84,7.866666667
85.33333333,66,83,74,15.03333333
76,55,70,50,15.4
80.66666667,59,80,72,12.86666667
77.33333333,68,79,66,14.23333333
73.33333333,55,70,72,12.13333333
70.33333333,82,92,65,10.43333333
70,81,87,56,12.5
88,66,79,96,15.1
74,62,94,71,6.7
93,95,70,73,27.9
86,70,87,78,14.5
76.33333333,80,87,69,13.53333333
85.66666667,68,89,74,13.76666667
79.66666667,98,72,98,20.06666667
84.33333333,50,94,65,9.033333333
81,63,70,94,14.6
81.66666667,93,82,73,19.36666667
76.66666667,97,71,69,21.86666667
77.33333333,71,81,79,12.93333333
75.33333333,60,72,54,15.13333333
75.66666667,60,77,73,11.86666667
79.33333333,66,99,50,10.23333333
68,68,81,59,10.6
66.66666667,57,80,85,5.566666667
80.33333333,93,99,69,14.13333333
71.66666667,66,87,73,8.466666667
84,77,89,61,16.2
91.33333333,78,76,82,21.13333333
75.66666667,79,90,72,11.86666667
85,53,88,86,9.6
69.33333333,75,91,68,8.633333333
78.66666667,86,81,86,15.76666667
68.66666667,59,82,95,5.166666667
80,50,80,75,10.5
84.33333333,65,98,53,12.03333333
82.33333333,61,91,77,10.13333333
80,53,70,90,12.6
75.33333333,68,88,61,11.23333333
75.33333333,67,72,83,13.63333333
76,91,76,75,18.3
75.33333333,98,78,56,20.73333333
81,96,84,53,21.1
71.33333333,80,95,69,9.133333333
79.66666667,85,89,68,15.36666667
77.33333333,88,95,59,14.13333333
79,66,95,80,8.3
84.33333333,92,73,93,20.93333333
86,74,74,70,20
91,52,82,94,12.8
73,98,78,51,20.3
76.66666667,96,99,68,13.36666667
85.66666667,87,74,61,23.36666667
75.33333333,67,99,60,7.833333333
81.66666667,94,89,70,17.76666667
83,76,87,88,13.5
77.66666667,95,88,67,16.96666667
81.33333333,72,89,87,11.53333333
88.66666667,67,79,79,17.26666667
85.33333333,99,82,83,21.03333333
73.66666667,97,76,51,20.96666667
78.66666667,70,75,73,15.66666667
69.33333333,62,75,85,9.133333333
77.66666667,71,80,52,16.06666667
70.66666667,82,77,65,15.06666667
74.66666667,57,80,56,11.66666667
73.66666667,88,82,55,16.96666667
83.66666667,98,70,99,22.16666667
77.66666667,91,85,67,17.06666667
70.33333333,77,76,69,13.83333333
84.66666667,81,85,68,17.76666667
83.33333333,87,80,82,18.53333333
77,84,97,50,13.5
